#instrument     mjdstart    exp    flt flux   unc    sig
P200/CHIMERA    59971.29843  50.00 r    3.62  3.76   0.96 
P200/CHIMERA    59971.29901  50.00 r    0.71  3.17   0.22 
P200/CHIMERA    59971.29959  50.00 r   -4.06  3.74  -1.09 
P200/CHIMERA    59971.30017  50.00 r    1.05  3.62   0.29 
P200/CHIMERA    59971.30074  50.00 r   -3.04  3.23  -0.94 
P200/CHIMERA    59971.30132  50.00 r   -0.05  3.44  -0.01 
P200/CHIMERA    59971.30190  50.00 r   -0.93  3.47  -0.27 
P200/CHIMERA    59971.30248  50.00 r   -0.31  3.43  -0.09 
P200/CHIMERA    59971.30306  50.00 r   -2.38  3.80  -0.63 
P200/CHIMERA    59971.30368  50.00 r   -0.64  3.70  -0.17 
P200/CHIMERA    59971.30426  50.00 r   -2.00  4.38  -0.46 
P200/CHIMERA    59971.30484  50.00 r   -1.00  3.91  -0.26 
P200/CHIMERA    59971.30542  50.00 r   -2.02  3.98  -0.51 
P200/CHIMERA    59971.30599  50.00 r    5.03  3.44   1.46 
P200/CHIMERA    59971.30657  50.00 r    3.90  4.16   0.94 
P200/CHIMERA    59971.30715  50.00 r   -2.23  4.18  -0.53 
P200/CHIMERA    59971.30773  50.00 r    3.72  4.48   0.83 
P200/CHIMERA    59971.30831  50.00 r   -0.49  3.79  -0.13 
P200/CHIMERA    59971.30889  50.00 r   -6.34  4.50  -1.41 
P200/CHIMERA    59971.30951  50.00 r    3.14  3.76   0.84 
P200/CHIMERA    59971.31009  50.00 r   -3.28  3.78  -0.87 
P200/CHIMERA    59971.31067  50.00 r   -3.87  3.89  -0.99 
P200/CHIMERA    59971.31124  50.00 r   10.60  4.13   2.57 
P200/CHIMERA    59971.31182  50.00 r    3.80  4.56   0.83 
P200/CHIMERA    59971.31240  50.00 r   -5.13  5.19  -0.99 
P200/CHIMERA    59971.31298  50.00 r    1.09  4.23   0.26 
P200/CHIMERA    59971.31356  50.00 r    5.89  5.19   1.13 
P200/CHIMERA    59971.31414  50.00 r   11.70  6.93   1.69 
P200/CHIMERA    59971.31472  50.00 r   -1.60  5.98  -0.27 
P200/CHIMERA    59971.19290  50.00 g    2.68  2.96   0.91 
P200/CHIMERA    59971.19348  50.00 g   -0.74  2.79  -0.27 
P200/CHIMERA    59971.19405  50.00 g    2.00  2.85   0.70 
P200/CHIMERA    59971.19463  50.00 g    2.10  3.87   0.54 
P200/CHIMERA    59971.19521  50.00 g    6.22  5.52   1.13 
P200/CHIMERA    59971.19579  50.00 g    2.70  3.27   0.83 
P200/CHIMERA    59971.19637  50.00 g   -0.83  3.24  -0.26 
P200/CHIMERA    59971.19695  50.00 g    0.97  2.98   0.32 
P200/CHIMERA    59971.19753  50.00 g    1.09  3.54   0.31 
