#inst           mjdstart     exp   flt flux   unc   sig
NTT/ULTRACAM    59933.14403  19.99 r    0.06  1.33   0.05 
NTT/ULTRACAM    59933.14426  19.99 u    0.96  2.48   0.39 
NTT/ULTRACAM    59933.14426  19.99 g   -1.00  1.03  -0.97 
NTT/ULTRACAM    59933.14426  19.99 r    1.44  1.34   1.07 
NTT/ULTRACAM    59933.14449  19.99 u    3.83  2.47   1.55 
NTT/ULTRACAM    59933.14449  19.99 g    0.20  1.06   0.19 
NTT/ULTRACAM    59933.14449  19.99 r   -0.62  1.31  -0.48 
NTT/ULTRACAM    59933.14472  19.99 u    2.50  2.50   1.00 
NTT/ULTRACAM    59933.14472  19.99 g   -0.75  1.02  -0.74 
NTT/ULTRACAM    59933.14472  19.99 r    1.56  1.33   1.17 
NTT/ULTRACAM    59933.14496  19.99 u   -1.11  2.31  -0.48 
NTT/ULTRACAM    59933.14496  19.99 g    0.12  0.95   0.12 
NTT/ULTRACAM    59933.14496  19.99 r    2.19  1.35   1.62 
NTT/ULTRACAM    59933.14519  19.99 u    0.94  2.41   0.39 
NTT/ULTRACAM    59933.14519  19.99 g    1.75  0.97   1.80 
NTT/ULTRACAM    59933.14519  19.99 r   -4.18  1.32  -3.17 
NTT/ULTRACAM    59933.14542  19.99 u    1.31  2.52   0.52 
NTT/ULTRACAM    59933.14542  19.99 g    0.43  0.94   0.45 
NTT/ULTRACAM    59933.14542  19.99 r   -1.60  1.40  -1.14 
NTT/ULTRACAM    59933.14565  19.99 u   -1.84  2.39  -0.77 
NTT/ULTRACAM    59933.14565  19.99 g   -0.71  0.85  -0.84 
NTT/ULTRACAM    59933.14565  19.99 r   -0.07  1.34  -0.05 
NTT/ULTRACAM    59933.14588  19.99 u   -2.34  2.61  -0.90 
NTT/ULTRACAM    59933.14588  19.99 g   -0.05  1.03  -0.05 
NTT/ULTRACAM    59933.14588  19.99 r    1.96  1.29   1.52 
NTT/ULTRACAM    59933.14611  19.99 u    2.08  2.52   0.83 
NTT/ULTRACAM    59933.14611  19.99 g   -0.85  0.98  -0.87 
NTT/ULTRACAM    59933.14611  19.99 r    2.79  1.50   1.86 
NTT/ULTRACAM    59933.14634  19.99 u   -0.68  2.47  -0.28 
NTT/ULTRACAM    59933.14634  19.99 g    1.29  0.94   1.38 
NTT/ULTRACAM    59933.14634  19.99 r    1.86  1.31   1.42 
NTT/ULTRACAM    59933.14658  19.99 u   -0.55  2.65  -0.21 
NTT/ULTRACAM    59933.14658  19.99 g    1.40  0.95   1.47 
NTT/ULTRACAM    59933.14658  19.99 r   -1.35  1.31  -1.03 
NTT/ULTRACAM    59933.14681  19.99 u   -4.55  2.60  -1.75 
NTT/ULTRACAM    59933.14681  19.99 g    1.16  0.89   1.30 
NTT/ULTRACAM    59933.14681  19.99 r   -0.62  1.25  -0.49 
NTT/ULTRACAM    59933.14704  19.99 u    0.09  2.35   0.04 
NTT/ULTRACAM    59933.14704  19.99 g    0.34  1.01   0.34 
NTT/ULTRACAM    59933.14704  19.99 r   -0.83  1.41  -0.59 
NTT/ULTRACAM    59933.14727  19.99 u    1.68  2.49   0.67 
NTT/ULTRACAM    59933.14727  19.99 g   -1.00  0.95  -1.05 
NTT/ULTRACAM    59933.14727  19.99 r    0.43  1.41   0.30 
NTT/ULTRACAM    59933.14750  19.99 u    1.31  2.72   0.48 
NTT/ULTRACAM    59933.14750  19.99 g    1.13  1.02   1.11 
NTT/ULTRACAM    59933.14750  19.99 r    1.47  1.37   1.07 
NTT/ULTRACAM    59933.14773  19.99 u   -3.20  2.80  -1.14 
NTT/ULTRACAM    59933.14773  19.99 g    0.88  1.04   0.84 
NTT/ULTRACAM    59933.14773  19.99 r    1.32  1.44   0.92 
NTT/ULTRACAM    59933.14797  19.99 u    0.59  2.61   0.23 
NTT/ULTRACAM    59933.14797  19.99 g    0.90  1.02   0.88 
NTT/ULTRACAM    59933.14797  19.99 r   -0.53  1.27  -0.42 
NTT/ULTRACAM    59933.14820  19.99 u   -0.74  2.44  -0.30 
NTT/ULTRACAM    59933.14820  19.99 g    0.40  0.95   0.42 
NTT/ULTRACAM    59933.14820  19.99 r    1.87  1.29   1.45 
NTT/ULTRACAM    59933.14843  19.99 u    0.84  2.70   0.31 
NTT/ULTRACAM    59933.14843  19.99 g    0.96  1.06   0.91 
NTT/ULTRACAM    59933.14843  19.99 r   -0.18  1.30  -0.14 
NTT/ULTRACAM    59933.14866  19.99 u   -1.42  2.49  -0.57 
NTT/ULTRACAM    59933.14866  19.99 g    0.37  0.99   0.37 
NTT/ULTRACAM    59933.14866  19.99 r    0.85  1.44   0.59 
NTT/ULTRACAM    59933.14889  19.99 u   -1.39  2.62  -0.53 
NTT/ULTRACAM    59933.14889  19.99 g    0.96  0.98   0.98 
