###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57804.349726  20.591  1.000    21   21 c  0   1.17  74.64332  -8.30110  1111.96  4886.85 4.60 4.05   6.1 -0.390 19.15 21.12 02a57804o0277c
57804.364170 -15.079  1.417 -3377 4786 c  0   1.09  74.64332  -8.30110  1132.46  4768.50 4.01 3.85  78.4 -0.386 16.64 18.49 02a57804o0305c
57804.378800  22.603  7.600     3   25 c  0   1.24  74.64332  -8.30110  1094.84  4824.98 4.11 4.00  53.2 -0.375 18.68 20.58 02a57804o0333c
57808.308853  17.351  0.756   417  315 c  0   1.26  74.64332  -8.30110  1167.74  3594.17 4.14 3.85  79.9 -0.389 15.63 17.35 02a57808o0171c
57808.324738  20.199  1.808    30   55 c  0   0.97  74.64332  -8.30110  1148.14  3552.70 3.98 3.78  80.0 -0.389 18.06 19.73 02a57808o0202c
57808.340092 -19.084  0.869   -84   73 c  0   1.12  74.64332  -8.30110  1208.92  3628.60 3.92 3.71  82.2 -0.398 17.83 19.48 02a57808o0232c
57808.356120  17.490  1.326   366  486 c  0   1.22  74.64332  -8.30110  1232.60  3508.72 3.98 3.81  85.5 -0.397 15.83 17.40 02a57808o0263c
57816.233954 -22.733  8.714    -3   26 c  0   0.90  74.64332  -8.30110  4160.40  2077.17 4.17 3.93  75.8 -0.366 18.99 20.55 02a57816o0002c
57816.259043  22.855  9.333     3   24 c  0   0.98  74.64332  -8.30110  4198.79  2092.51 4.25 4.04   9.8 -0.372 18.99 20.60 02a57816o0046c
57826.262595  19.678  0.785    49   38 o  0   1.05  74.64332  -8.30110  2710.39  3883.67 3.91 3.73  77.4 -0.442 17.99 18.84 02a57826o0085o
57826.279963 -19.670  0.798   -49   39 o  0   0.95  74.64332  -8.30110  3294.61  3308.53 3.79 3.50 -87.2 -0.463 17.90 18.60 02a57826o0116o
57826.280075 -19.650  0.940   -50   47 o  0   1.24  74.64332  -8.30110  7280.96  7160.14 3.60 3.40  71.3 -0.487 18.19 19.35 01a57826o0035o
57826.293905 -19.397  0.895   -63   57 o  0   1.00  74.64332  -8.30110  8153.15  7446.19 3.43 3.27  60.8 -0.495 18.17 19.23 01a57826o0061o
57826.295255  19.405  0.629    63   40 o  0   1.72  74.64332  -8.30110  2426.06  3003.54 3.85 3.66 -84.0 -0.442 17.80 18.45 02a57826o0143o
57826.310927 -19.501  1.010   -58   58 o  0   1.14  74.64332  -8.30110  6964.69  6292.04 3.54 3.35 -18.7 -0.476 18.05 19.10 01a57826o0093o
57826.314728  22.020  8.308     6   47 o  0   1.06  74.64332  -8.30110  3596.66  4174.84 3.76 3.49 -89.0 -0.450 17.70 18.27 02a57826o0178o
