Start Date,dt_rest,t_exp,Filter,fnu,e_fnu,Instrument,Flare?
(UT),(days),(sec.),,(uJy),(uJy),,
2022-12-19 02:05:02,102.61367,20,u,2.29,2.12,GTC/ULTRACAM,  
2022-12-19 02:05:02,102.61367,20,g,0.65,1.06,GTC/ULTRACAM,  
2022-12-19 02:05:02,102.61367,20,i,2.80,2.08,GTC/ULTRACAM,  
2022-12-19 02:05:22,102.61390,20,g,1.34,0.92,GTC/ULTRACAM,  
2022-12-19 02:05:22,102.61390,20,i,0.20,2.33,GTC/ULTRACAM,  
2022-12-19 02:05:22,102.61390,20,u,0.04,2.26,GTC/ULTRACAM,  
2022-12-19 02:05:42,102.61413,20,u,-1.85,2.31,GTC/ULTRACAM,  
2022-12-19 02:05:42,102.61413,20,g,-0.24,0.96,GTC/ULTRACAM,  
2022-12-19 02:05:42,102.61413,20,i,2.14,2.11,GTC/ULTRACAM,  
2022-12-19 02:06:02,102.61436,20,u,0.65,2.35,GTC/ULTRACAM,  
2022-12-19 02:06:02,102.61436,20,g,0.25,0.92,GTC/ULTRACAM,  
2022-12-19 02:06:02,102.61436,20,i,2.23,2.13,GTC/ULTRACAM,  
2022-12-19 02:06:23,102.61460,20,i,1.46,2.24,GTC/ULTRACAM,  
2022-12-19 02:06:23,102.61460,20,g,0.64,1.00,GTC/ULTRACAM,  
2022-12-19 02:06:23,102.61460,20,u,-2.37,2.32,GTC/ULTRACAM,  
2022-12-19 02:06:43,102.61483,20,u,2.16,2.37,GTC/ULTRACAM,  
2022-12-19 02:06:43,102.61483,20,g,-0.64,1.06,GTC/ULTRACAM,  
2022-12-19 02:06:43,102.61483,20,i,1.89,2.17,GTC/ULTRACAM,  
2022-12-19 02:07:03,102.61506,20,i,2.85,2.42,GTC/ULTRACAM,  
2022-12-19 02:07:03,102.61506,20,u,-3.28,2.40,GTC/ULTRACAM,  
